Name,Use,Localisation,CoverYear,NbClass,ClassName,NbImage,PixelSize,Spatial Resolution (m),Nb Bands,Spectral Resolution,Reference
EuroSat_MS,"[""Land Classification""]","['Austria', 'Belarus', 'Belgium', 'Bulgaria', 'Cyprus', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Macedonia', 'Malta', 'Republic of Moldova', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Ukraine', 'United Kingdom']",2015-2019,10,"[""Industrial Buildings"", ""Residential Buildings"", ""Annual Crop"", ""Permanent Crop"", ""River"", ""Sea & Lake"", ""Herbaceous Vegetation"", ""Highway"", ""Pasture"", ""Forest""]",27000,"[""64 x 64""]","[""10""]",13,"[""Aerosols"", ""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""Red edge 2"", ""Red edge 3"", ""NIR"", ""Red edge 4"", ""Water vapor"", ""Cirrus"", ""SWIR 1"", ""SWIR 2""]",EuroSAT: A Novel Dataset and Deep Learning Benchmark for Land Use and Land Cover Classification
EuroSat_RGB,"[""Land Classification""]","['Austria', 'Belarus', 'Belgium', 'Bulgaria', 'Cyprus', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Latvia', 'Lithuania', 'Luxembourg', 'Macedonia', 'Malta', 'Republic of Moldova', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Ukraine', 'United Kingdom']",2015-2019,10,"[""Industrial Buildings"", ""Residential Buildings"", ""Annual Crop"", ""Permanent Crop"", ""River"", ""Sea & Lake"", ""Herbaceous Vegetation"", ""Highway"", ""Pasture"", ""Forest""]",27000,"[""64 x 64""]","[""10""]",13,"[""Aerosols"", ""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""Red edge 2"", ""Red edge 3"", ""NIR"", ""Red edge 4"", ""Water vapor"", ""Cirrus"", ""SWIR 1"", ""SWIR 2""]",EuroSAT: A Novel Dataset and Deep Learning Benchmark for Land Use and Land Cover Classification
UC Merced dataset (UCMD),"[""Land Classification""]","['Birmingham', 'Boston', 'Buffalo', 'Columbus', 'Dallas', 'Harrisburg', 'Houston', 'Jacksonville', 'Las Vegas', 'Los Angeles', 'Miami', 'Napa', 'New York', 'Reno', 'San Diego', 'Santa Barbara', 'Seattle', 'Tampa', 'Tucson', 'Ventura']",-,21,"[""Agricultural"", ""Airplane"", ""Baseball Diamond"", ""Beach"", ""Buildings"", ""Chaparral"", ""Dense Residential"", ""Forest"", ""Freeway"", ""Golf Course"", ""Harbor"", ""Intersection"", ""Medium Density Residential"", ""Mobile Home Park"", ""Overpass"", ""Parking Lot"", ""River"", ""Runway"", ""Sparse Residential"", ""Storage Tanks"", ""Tennis Courts""]",2100,"[""256 x 256""]","[""0.3""]",3,"[""Blue"", ""Green"", ""Red""]",Bag-Of-Visual-Words and Spatial Extensions for Land-Use Classification
WHU-RS19,"[""Land Classification""]",[],-,19,"[""Airport"", ""Beach"", ""Bridge"", ""Commercial Area"", ""Desert"", ""Farmland"", ""Football Field"", ""Forest"", ""Industrial Area"", ""Meadow"", ""Mountain"", ""Park"", ""Parking"", ""Pond"", ""Port"", ""Railway Station"", ""Residential Area"", ""River"", ""Viaduct""]",1005,"[""600 x 600""]","[""0.5""]",3,"[""Blue"", ""Green"", ""Red""]",High-resolution satellite scene classification using a sparse coding based multiple feature combination
RSSCN7,"[""Land Classification""]",[],-,7,"[""Grassland"", ""Forest"", ""Farmland"", ""Parking Lot"", ""Residential Region"", ""Industrial Region"", ""River"", ""Lake""]",2800,"[""400 x 400""]",[],0,[],Deep Learning Based Feature Selection for Remote Sensing Scene Classification
RSC11,"[""Land Classification""]","['Washington DC', 'Los Angeles', 'San Francisco', 'New York', 'San Diego', 'Chicago', 'Houston']",-,11,"[""Dense Forest"", ""Grassland"", ""Harbor"", ""High Buildings"", ""Low Buildings"", ""Overpass"", ""Railway"", ""Residential Area"", ""Roads"", ""Sparse Forest"", ""Storage Tanks""]",1232,"[""512 x 512""]","[""0.2""]",3,"[""Blue"", ""Green"", ""Red""]",Feature significance-based multibag-of-visual-words model for remote sensing image scene classification
SAT-4,"[""Land Classification""]","[""Worldwide""]",-,4,"[""Barren Land"", ""Trees"", ""Grassland"", ""Other""]",500000,"[""28 x 28""]","[""1""]",4,"[""Blue"", ""Green"", ""Red"", ""NIR""]",DeepSat - A Learning framework for Satellite Imagery
SAT-6,"[""Land Classification""]","[""Worldwide""]",-,6,"[""Barren Land"", ""Trees"", ""Grassland"", ""Roads"", ""Buildings"", ""Water Bodies""]",405000,"[""28 x 28""]","[""1""]",4,"[""Blue"", ""Green"", ""Red"", ""NIR""]",DeepSat - A Learning framework for Satellite Imagery
NWPU-RESISC45,"[""Land Classification""]","[""Worldwide""]",-,45,"[""Airplane"", ""Airport"", ""Baseball Diamond"", ""Basketball Court"", ""Beach"", ""Bridge"", ""Chaparral"", ""Church"", ""Circular Farmland"", ""Cloud"", ""Commercial Area"", ""Dense Residential"", ""Desert"", ""Forest"", ""Freeway"", ""Golf Course"", ""Ground Track Field"", ""Harbor"", ""Industrial Area"", ""Intersection"", ""Island"", ""Lake"", ""Meadow"", ""Medium Residential"", ""Mobile Home Park"", ""Mountain"", ""Overpass"", ""Palace"", ""Parking Lot"", ""Railway"", ""Railway Station"", ""Rectangular Farmland"", ""River"", ""Roundabout"", ""Runway"", ""Sea Ice"", ""Ship"", ""Snowberg"", ""Sparse Residential"", ""Stadium"", ""Storage Tank"", ""Tennis Court"", ""Terrace"", ""Thermal Power Station"", ""Wetland""]",31500,"[""256 x 256""]","[""0.2"",""30""]",4,"[""Blue"", ""Green"", ""Red"", ""NIR""]",Remote Sensing Image Scene Classification: Benchmark and State of the Art
PatternNet,"[""Land Classification""]","[""US cities""]",-,38,"[""Airplane"", ""Baseball Field"", ""Basketball Court"", ""Beach"", ""Bridge"", ""Cemetery"", ""Chaparral"", ""Christmas Tree Farm"", ""Closed Road"", ""Coastal Mansion"", ""Crosswalk"", ""Dense Residential"", ""Ferry Terminal"", ""Football Field"", ""Forest"", ""Freeway"", ""Golf Course"", ""Harbor"", ""Intersection"", ""Mobile Home Park"", ""Nursing Home"", ""Oil Gas Field"", ""Oil Well"", ""Overpass"", ""Parking Lot"", ""Parking Space"", ""Railway"", ""River"", ""Runway"", ""Runway Marking"", ""Shipping Yard"", ""Solar Panel"", ""Sparse Residential"", ""Storage Tank"", ""Swimming Pool"", ""Tennis Court"", ""Transformer Station"", ""Wastewater Treatment Plant""]",30400,"[""256 x 256""]","[""0.06"",""4.69""]",3,"[""Blue"", ""Green"", ""Red""]",PatternNet: A benchmark dataset for performance evaluation of remote sensing image retrieval
